Year,Month,Days,Daily Rainfall Totals (mm),Inflow (m3/s)
2022,9,14,0.0,4.7
2022,9,15,43.7,17.5
2022,9,16,10.7,13.7
2022,9,17,0.0,0.1
2022,9,18,54.0,25.7
2022,9,19,28.3,14.3
2022,9,20,0.0,0.1
2022,9,21,0.0,3.2
2022,9,22,11.7,2.9
2022,9,23,0.0,4.7
2022,9,24,0.0,0.0
2022,9,25,23.2,11.1
2022,9,26,0.0,6.1
2022,9,27,0.0,0.0
2022,9,28,4.3,3.2
2022,9,29,0.0,0.4
2022,9,30,0.0,0.5
2022,2,1,3.1,1.1
2022,2,2,9.0,3.6
2022,2,3,0.0,1.4
2022,2,4,0.0,0.1
2022,2,5,0.0,0.2
2022,2,6,20.7,8.5
2022,2,7,43.7,15.7
2022,2,8,0.0,5.9
2022,2,9,0.0,0.1
2022,2,10,0.0,0.7
2022,2,11,0.0,0.0
2022,2,12,8.4,3.8
2022,2,13,0.0,2.3
2022,2,14,0.0,0.0
2022,2,15,0.0,0.5
2022,2,16,26.5,10.7
2022,2,17,0.0,8.0
2022,2,18,12.1,3.7
2022,2,19,0.0,5.1
2022,2,20,0.0,0.0
2022,2,21,0.0,1.6
2022,2,22,21.9,8.3
2022,2,23,10.6,6.8
2022,2,24,0.0,0.0
2022,2,25,0.0,1.6
2022,2,26,0.0,0.2
2022,2,27,1.3,1.2
2022,2,28,0.0,0.7
2022,2,29,0.0,0.2
2022,2,30,23.3,9.7
2022,2,31,93.1,35.5
